framework,process,time_ns
crow_<<,handling,50586934.000000
crow_<<,processing,199049193.000000
crow_<<,sending,5654872.000000
crow_<<,handling,20352678.000000
crow_<<,processing,186624556.000000
crow_<<,sending,320189.000000
crow_<<,handling,21326475.000000
crow_<<,processing,188416645.000000
crow_<<,sending,558816.000000
crow_<<,handling,21045591.000000
crow_<<,processing,181588838.000000
crow_<<,sending,583766.000000
crow_<<,handling,19669537.000000
crow_<<,processing,187049891.000000
crow_<<,sending,319879.000000
crow_<<,handling,25255885.000000
crow_<<,processing,198735311.000000
crow_<<,sending,398175.000000
crow_<<,handling,22602918.000000
crow_<<,processing,197333582.000000
crow_<<,sending,304072.000000
crow_<<,handling,20539518.000000
crow_<<,processing,181209213.000000
crow_<<,sending,326587.000000
crow_<<,handling,20905376.000000
crow_<<,processing,200912511.000000
crow_<<,sending,330955.000000
crow_<<,handling,21139940.000000
crow_<<,processing,179403057.000000
crow_<<,sending,322124.000000
flask,handling,140657250
flask,processing,5239819
flask,sending,28190655
flask,handling,61636152
flask,processing,3651948
flask,sending,6886798
flask,handling,59076863
flask,processing,4136001
flask,sending,2389580
flask,handling,72506981
flask,processing,3883622
flask,sending,3476085
flask,handling,65590567
flask,processing,3537642
flask,sending,3045616
flask,handling,72133887
flask,processing,4493970
flask,sending,2615433
flask,handling,67556309
flask,processing,3569070
flask,sending,2761457
flask,handling,56589841
flask,processing,3700041
flask,sending,3173810
flask,handling,66075306
flask,processing,3638040
flask,sending,3349849
flask,handling,56421355
flask,processing,3342871
flask,sending,2463454
crow_write,handling,52512790.000000
crow_write,processing,181950412.000000
crow_write,sending,4981175.000000
crow_write,handling,25392292.000000
crow_write,processing,201912645.000000
crow_write,sending,331154.000000
crow_write,handling,21495172.000000
crow_write,processing,183220507.000000
crow_write,sending,311677.000000
crow_write,handling,21601609.000000
crow_write,processing,180219965.000000
crow_write,sending,314144.000000
crow_write,handling,21689657.000000
crow_write,processing,192655140.000000
crow_write,sending,313740.000000
crow_write,handling,21690161.000000
crow_write,processing,177183767.000000
crow_write,sending,296127.000000
crow_write,handling,32054732.000000
crow_write,processing,200205135.000000
crow_write,sending,536209.000000
crow_write,handling,20728159.000000
crow_write,processing,181116974.000000
crow_write,sending,546383.000000
crow_write,handling,19634724.000000
crow_write,processing,165339128.000000
crow_write,sending,250576.000000
crow_write,handling,20766602.000000
crow_write,processing,182773155.000000
crow_write,sending,322928.000000
